"tot_votes","paul_pct","County","per_capita_income","pop_dens","pop_2015","pct_bachelor_deg","pct_reg_repubs","pct_reg_males","pct_65_and_older","log_pop_2015","coal_2015_pct_chg","region","senate_dist","pct_non_white","outcome","fitted","resids"
3297,71.5196,"Gallatin",29322,85.3107,8636,8.8,0.3217,0.4863,77.9024,9.0637,0,21077,"other",9.2867,"w",63.2194770291111,8.30012297088888
7549,66.6843,"Garrard",30309,74.9174,17237,15.2,0.598,0.4836,39.0303,9.7548,0,21079,"other",5.8769,"w",68.321792218401,-1.63749221840102
9459,75.3251,"Grant",32114,95.9685,24757,10.9,0.4179,0.4868,27.1747,10.1169,0,21081,"other",5.5701,"w",64.9697806076481,10.3553193923519
16390,67.0897,"Graves",35204,67.8236,37421,16.9,0.2999,0.4715,17.9783,10.53,0,21083,"other",12.8858,"w",58.7526015825288,8.33709841747121
10404,68.2141,"Grayson",31693,52.7904,26221,9.5,0.6249,0.4792,25.6575,10.1743,0,21085,"other",3.9854,"w",71.6236770309466,-3.40957703094659
5147,71.6534,"Green",33484,38.4925,11010,12,0.6024,0.4791,61.1049,9.3066,0,21087,"other",5.4678,"w",71.5021049474512,0.151295052548765
16074,55.6551,"Greenup",37195,104.7271,36068,15.7,0.3728,0.473,18.6527,10.4932,0,21089,"other",3.8511,"w",62.3343930447508,-6.67929304475077
4225,56.4024,"Hancock",38284,46.3203,8692,11.5,0.3576,0.4883,77.4005,9.0702,0,21091,"other",4.1302,"w",66.512880003784,-10.110480003784
42937,57.971,"Hardin",38972,170.7724,106439,20.8,0.413,0.4676,6.3207,11.5753,0,21093,"other",23.6069,"w",60.2022299766615,-2.2312299766615
10110,73.7389,"Harlan",27920,59.4702,27703,10.6,0.3112,0.4806,24.2849,10.2293,-60.87,21095,"other",5.0247,"w",60.1757665602636,13.5631334397364
7697,54.8915,"Harrison",33604,61.2449,18763,14.2,0.3002,0.475,35.8559,9.8396,0,21097,"other",6.5448,"w",60.2081858251706,-5.31668582517056
