"County","tr_pct","per_capita_income","pop_dens","pop_2015","pct_bachelor_deg","pct_reg_repubs","pct_reg_males","pct_65_and_older","outcome","log_pop_2015","coal_2015_pct_chg","region","senate_dist","tot_votes","pct_non_white","fitted","resids"
"Gallatin",73.2095,29322,85.3107,8636,8.8,0.3217,0.4863,77.9024,"w",9.0637,0,21077,"other",3337,9.2867,75.1485210157057,-1.93902101570564
"Garrard",77.4905,30309,74.9174,17237,15.2,0.598,0.4836,39.0303,"w",9.7548,0,21079,"other",7619,5.8769,77.2838606721016,0.206639327898417
"Grant",76.0569,32114,95.9685,24757,10.9,0.4179,0.4868,27.1747,"w",10.1169,0,21081,"other",9556,5.5701,76.276440481286,-0.219540481286013
"Graves",76.3681,35204,67.8236,37421,16.9,0.2999,0.4715,17.9783,"w",10.53,0,21083,"other",16592,12.8858,68.1926849314038,8.17541506859619
"Grayson",77.7431,31693,52.7904,26221,9.5,0.6249,0.4792,25.6575,"w",10.1743,0,21085,"other",10572,3.9854,81.4452902017996,-3.70219020179957
"Green",81.9801,33484,38.4925,11010,12,0.6024,0.4791,61.1049,"w",9.3066,0,21087,"other",5333,5.4678,79.5994094831039,2.38069051689611
"Greenup",70.9519,37195,104.7271,36068,15.7,0.3728,0.473,18.6527,"w",10.4932,0,21089,"other",16273,3.8511,72.757586257073,-1.80568625707303
"Hancock",64.9429,38284,46.3203,8692,11.5,0.3576,0.4883,77.4005,"w",9.0702,0,21091,"other",4293,4.1302,76.0886023240934,-11.1457023240934
"Hardin",62.5159,38972,170.7724,106439,20.8,0.413,0.4676,6.3207,"w",11.5753,0,21093,"other",43141,23.6069,63.6490231190252,-1.13312311902519
"Harlan",84.8657,27920,59.4702,27703,10.6,0.3112,0.4806,24.2849,"w",10.2293,-60.87,21095,"other",10757,5.0247,75.2336319317046,9.63206806829539
"Harrison",69.8586,33604,61.2449,18763,14.2,0.3002,0.475,35.8559,"w",9.8396,0,21097,"other",7780,6.5448,72.0367819781162,-2.1781819781162
"Hart",73.248,32465,44.7815,18454,8.8,0.3497,0.4793,36.4563,"w",9.823,0,21099,"other",7263,8.215,75.6630348998389,-2.41503489983886
"Henderson",61.7052,36766,106.2748,46407,16.4,0.2691,0.4648,14.4971,"w",10.7452,-100,21101,"fourth",19705,12.7524,68.0675301989926,-6.36233019899256
"Henry",69.1952,35170,54.562,15620,12.8,0.3554,0.4875,43.0707,"w",9.6563,0,21103,"other",7145,8.3547,73.633487083644,-4.438287083644
"Hickman",76.8197,37788,19.0366,4612,10.3,0.2832,0.4628,145.8727,"w",8.4364,0,21105,"other",2157,12.5325,73.0455237893753,3.77417621062473
"Hopkins",75.1045,36518,85.2804,46222,14.2,0.3258,0.4679,14.5551,"w",10.7412,-22.09,21107,"other",20341,11.183,70.5657055366008,4.5387944633992
"Jackson",88.8909,25214,38.679,13352,8.2,0.8259,0.4926,50.3868,"w",9.4994,0,21109,"other",5500,2.0222,87.2164413242755,1.67445867572455
"Jefferson",40.7323,46457,2007.3156,763623,30.4,0.3303,0.4608,0.881,"l",13.5458,0,21111,"other",352934,31.0879,40.3820094311379,0.35029056886209
"Jessamine",66.3949,38243,301.8882,51961,27.4,0.4881,0.4681,12.9475,"w",10.8582,0,21113,"other",23306,10.4194,64.606715407403,1.78818459259703
"Johnson",84.0263,32127,88.4711,23175,10.2,0.5676,0.481,29.0298,"w",10.0508,-47.39,21115,"other",9572,2.5372,80.5674113632344,3.45888863676559
"Kenton",59.7078,49475,1029.7161,165012,29.1,0.4567,0.4748,4.0771,"w",12.0138,0,21117,"other",71947,11.1889,57.2757594203607,2.4320405796393
"Knott",75.603,28652,44.6433,15693,13,0.0891,0.4825,42.8704,"w",9.661,-55.15,21119,"other",5763,2.6509,70.9086215609045,4.69437843909547
"Knox",82.2927,26907,82.1382,31730,10.1,0.658,0.4793,21.2028,"w",10.365,-51.37,21121,"other",12012,4.0561,81.8357405033088,0.456959496691212
"Larue",75.373,33232,54.4547,14241,11.1,0.3439,0.4748,47.2414,"w",9.5639,0,21123,"other",6367,8.1876,74.1992112631245,1.17378873687546
"Laurel",82.952,32254,138.4814,60094,12.6,0.7122,0.4808,11.1952,"w",11.0037,100,21125,"other",24824,4.0753,79.8966802051642,3.05531979483582
"Lawrence",79.7087,29138,37.885,15745,10.8,0.4333,0.4893,42.7288,"w",9.6643,357.04,21127,"other",6042,2.4579,76.065738011212,3.64296198878802
"Lee",80.6524,29455,32.3279,6752,5.6,0.604,0.4862,99.6394,"w",8.8176,0,21129,"other",2667,3.1991,84.5719626853271,-3.91956268532706
"Leslie",89.3811,30047,26.7214,10711,7.3,0.8541,0.4808,62.8107,"w",9.279,-66.74,21131,"other",4492,1.9419,88.514864228614,0.866235771385965
"Letcher",79.8445,30562,68.4295,23123,11.5,0.2659,0.473,29.0951,"w",10.0486,-88.91,21133,"other",9134,2.3094,74.6934945891094,5.15100541089058
"Lewis",82.3518,28324,28.3365,13682,10.6,0.7175,0.4948,49.1715,"w",9.5238,0,21135,"other",5298,2.2073,83.9169318451224,-1.5651318451224
"Lincoln",76.7493,29204,73.2206,24463,9.6,0.4651,0.478,27.5013,"w",10.1049,0,21137,"other",9561,5.678,77.8386659078738,-1.08936590787382
"Livingston",76.8899,35284,29.7512,9316,11.3,0.282,0.4879,72.2161,"w",9.1395,0,21139,"fourth",4643,4.0683,74.9695251394187,1.92037486058125
"Logan",71.3643,34555,48.7385,26910,13.3,0.3065,0.4583,25.0006,"w",10.2003,0,21141,"other",10899,11.8729,70.5451397207921,0.819160279207906
"Lyon",70.4115,29914,38.8421,8306,13.3,0.2875,0.4885,80.9975,"w",9.0247,0,21143,"other",3961,9.4751,72.3831458961302,-1.97164589613023
"Madison",62.7571,44428,148.6839,65018,28,0.3657,0.4584,7.6604,"w",11.0824,0,21151,"other",37336,16.3616,60.9275216235978,1.82957837640219
"Magoffin",74.7459,23016,57.9627,17878,8.9,0.686,0.4857,52.5269,"w",9.7913,-91.27,21153,"other",5116,10.7395,81.8666621851469,-7.12076218514689
"Marion",63.1644,37007,27.731,9512,12.5,0.3128,0.4846,34.7413,"w",9.1603,0,21155,"other",8109,3.5534,74.5566132153418,-11.3922132153418
"Marshall",73.8375,33800,291.532,87824,15.3,0.42,0.4672,21.6316,"w",11.3831,0,21157,"other",16688,10.0963,70.4288873987868,3.40861260121325
"Martin",88.6162,25070,55.7815,12808,7.5,0.3075,0.4963,54.6652,"w",9.4578,-71.86,21159,"other",3953,2.1939,78.603341305558,10.012858694442
"Mason",68.5144,34122,80.6438,19365,14.8,0.1995,0.4743,39.3453,"w",9.8712,0,21161,"other",7216,12.6827,67.8035439630207,0.71085603697928
"McCracken",66.3833,37972,125.0342,31101,22.5,0.3094,0.4813,10.3474,"w",10.345,0,21145,"other",31294,3.3247,67.9374920718374,-1.55419207183743
"McCreary",86.7729,27056,28.8355,12307,7.3,0.7159,0.4907,37.6309,"w",9.4179,0,21147,"other",5776,11.6519,82.5577700221009,4.21512997789907
"McLean",74.0473,36840,67.7269,17099,10.3,0.3175,0.4676,70.728,"w",9.7468,100,21149,"other",4566,10.4918,72.7128777018629,1.33442229813707
"Meade",70.8153,34894,91.4282,27924,12.7,0.3944,0.4808,24.0927,"w",10.2372,0,21163,"other",12229,11.2162,72.8781503927805,-2.0628503927805
"Menifee",72.3022,29196,31.2294,6358,12.1,0.2045,0.503,105.8139,"w",8.7575,0,21165,"other",2780,5.0959,73.5830536353,-1.28085363530003
"Mercer",73.1293,34165,86.041,21407,18.9,0.3842,0.4777,31.4273,"w",9.9715,0,21167,"other",10584,8.8242,70.0499820281194,3.07931797188057
"Metcalfe",75.5791,29794,34.2103,9909,8.6,0.4292,0.4849,67.8943,"w",9.2012,0,21169,"other",4619,4.723,78.8883594861798,-3.3092594861798
"Monroe",85.7143,33435,32.3861,10667,12,0.833,0.4861,63.0697,"w",9.2749,0,21171,"other",4991,6.6185,83.650647139134,2.06365286086602
"Montgomery",68.6473,33507,139.8794,27608,14.6,0.2925,0.4736,24.3685,"w",10.2259,0,21173,"other",11444,6.9581,70.8114287077245,-2.16412870772445
"Morgan",76.0587,24281,34.8306,13275,11.5,0.1333,0.4918,50.6791,"w",9.4936,0,21175,"other",4770,6.629,71.3957881984977,4.66291180150233
"Muhlenberg",71.955,31472,66.7616,31183,11.3,0.2519,0.4788,21.5747,"w",10.3476,-37.88,21177,"other",13054,7.9146,72.5258776683523,-0.570877668352315
"Nelson",64.6543,37908,108.0836,45126,16.6,0.331,0.4761,14.9086,"w",10.7172,0,21179,"other",20772,9.5843,69.6909238720931,-5.03662387209304
"Nicholas",68.9085,32780,36.5374,7131,13.7,0.1865,0.4868,94.3437,"w",8.8722,0,21181,"other",2840,3.6881,72.2056497377124,-3.29714973771236
"Ohio",76.3801,31613,41.2349,24216,8,0.4898,0.4825,27.7818,"w",10.0948,23.58,21183,"other",10398,6.1406,79.1892450148238,-2.80914501482379
"Oldham",62.3048,53671,346.5175,64875,40.1,0.5534,0.4843,10.3702,"w",11.0802,0,21185,"other",32853,11.8875,57.999243416849,4.30555658315097
"Owen",74.915,34589,30.5611,10730,15.9,0.3064,0.4954,62.6994,"w",9.2808,0,21187,"other",4999,5.2097,72.5795408595253,2.33545914047474
"Owsley",83.7976,28741,22.5976,4461,12.4,0.7067,0.4899,150.8104,"w",8.4031,-100,21189,"other",1759,2.7124,84.1050333374415,-0.307433337441462
"Pendleton",76.6439,33951,51.9844,14408,12.4,0.381,0.4919,46.6939,"w",9.5755,0,21191,"other",6007,3.158,76.1392411598969,0.504658840103138
"Perry",77.1661,35148,81.1523,27565,13.5,0.2538,0.4812,24.4065,"w",10.2243,-49.87,21193,"other",10572,4.3388,72.4461544940203,4.71994550597971
"Pike",80.0811,33354,78.5328,61792,12.5,0.2702,0.4879,10.8876,"w",11.0315,-56.56,21195,"other",24650,2.9001,73.8720919451778,6.20900805482221
"Powell",70.8695,30572,68.5496,12269,11.9,0.2741,0.484,54.8345,"w",9.4148,0,21197,"other",4957,3.4477,74.2203401820793,-3.35084018207931
"Pulaski",81.6865,35823,96.8728,63782,15.1,0.691,0.4735,10.5479,"w",11.0632,0,21199,"other",28034,5.3777,78.3995333517458,3.2869666482542
"Robertson",74.926,30034,21.3993,2138,12.5,0.1947,0.5092,314.6703,"w",7.6676,0,21201,"other",1013,2.8531,76.1522675325157,-1.22626753251568
"Rockcastle",83.8666,29138,53.5208,16942,10.9,0.7614,0.4806,39.7099,"w",9.7376,0,21203,"other",6688,2.6502,83.7757497094464,0.0908502905535641
"Rowan",58.5162,28951,85.3896,23892,23.8,0.3017,0.471,28.1586,"w",10.0813,0,21205,"other",8842,5.4705,66.7936503311569,-8.27745033115689
"Russell",83.9613,31907,69.6286,17662,11.9,0.7418,0.4798,38.0911,"w",9.7792,0,21207,"other",8174,5.9676,81.6115967551292,2.34970324487081
"Scott",62.2549,39415,186.0383,52420,27.9,0.441,0.4814,12.8341,"w",10.867,0,21209,"other",24178,12.8844,63.8544721394537,-1.59957213945369
"Shelby",64.1423,39613,120.1981,45632,23.8,0.4415,0.4717,14.7433,"w",10.7284,0,21211,"other",20573,19.1708,64.4413912563723,-0.29909125637232
"Simpson",67.4326,34139,76.883,18006,14.8,0.3231,0.4671,37.3634,"w",9.7985,0,21213,"other",7529,15.0172,69.146591316929,-1.71399131692897
"Spencer",75.6439,40375,95.8539,17894,16.6,0.4732,0.4968,37.5972,"w",9.7922,0,21215,"other",9513,5.6667,74.2648719256173,1.37902807438266
"Taylor",73.6023,33309,95.4455,25420,15.1,0.5171,0.4659,26.466,"w",10.1433,0,21217,"other",11304,9.9685,73.8311699791418,-0.228869979141841
"Todd",75.6598,35344,33.4606,12531,9.4,0.2631,0.4736,53.6881,"w",9.436,0,21219,"other",4774,14.3724,71.8855662396673,3.77423376033273
"Trigg",73.0615,34991,32.2429,14233,18.4,0.3985,0.4826,47.268,"w",9.5633,0,21221,"other",6745,11.8738,70.2849600838385,2.77653991616149
"Trimble",73.1521,33644,57.8239,8769,16.1,0.2406,0.4921,76.7208,"w",9.079,0,21223,"other",3788,5.7133,70.9918546012414,2.16024539875863
"Union",75.6883,34286,43.8967,15050,11.4,0.1976,0.4856,44.702,"w",9.6191,-25.9,21225,"fourth",6211,17.3156,68.953854372089,6.73444562791096
"Warren",59.1977,35966,226.8298,122851,28.4,0.4073,0.4618,5.4763,"w",11.7187,0,21227,"other",48436,20.2237,59.8729111671644,-0.675211167164432
"Washington",71.2789,36694,40.5793,12063,15.6,0.3511,0.4771,55.771,"w",9.3979,0,21229,"other",5630,12.0617,70.78455484641,0.494345153589984
"Wayne",79.7147,27508,44.6646,20464,9.8,0.6057,0.4854,32.8755,"w",9.9264,0,21231,"other",7991,6.421,80.5181601532322,-0.803460153232179
"Webster",75.745,36870,39.6758,13170,8.4,0.2315,0.4797,51.0831,"w",9.4857,2.45,21233,"fourth",5805,11.139,72.9161067172725,2.82889328272749
"Whitley",82.1556,32100,82.5183,36129,13.4,0.7141,0.482,18.6212,"w",10.4949,-52.13,21235,"other",13769,4.2238,80.909723296216,1.24587670378397
"Wolfe",68.463,26264,32.6732,7259,11.8,0.1139,0.4921,92.6801,"w",8.89,0,21237,"other",2635,2.1904,72.6768616576227,-4.21386165762265
"Woodford",56.7625,45213,136.6299,25793,31.6,0.3857,0.467,26.0832,"w",10.1579,0,21239,"other",13560,13.7557,60.5695147171388,-3.80701471713875
