"County","resids"
"Martin",10.012858694442
"Harlan",9.63206806829539
"Carlisle",8.6859633805782
"Graves",8.17541506859619
"Rowan",-8.27745033115689
"Franklin",-8.71584503216051
"Hancock",-11.1457023240934
"Marion",-11.3922132153418
