"sch.year","district.name","composite.mean.score"
"2015","Breckinridge County",19.9
"2015","Bullitt County",19.2
"2015","Burgin Independent",18.5
"2015","Butler County",17.6
"2015","Caldwell County",19.1
"2015","Calloway County",20.1
"2015","Campbell County",21.1
"2015","Campbellsville Independent",18.3
"2015","Carlisle County",18.4
"2015","Carroll County",18.3
"2015","Carter County",18.2
"2015","Casey County",18.8
"2015","Caverna Independent",18.1
"2015","Christian County",18
"2015","Clark County",18.7
"2015","Clay County",17.5
"2015","Clinton County",17.9
"2015","Cloverport Independent",18
"2015","Corbin Independent",20
"2015","Covington Independent",16.8
"2015","Crittenden County",18.5
"2015","Cumberland County",19.3
"2015","Danville Independent",19.5
"2015","Daviess County",19.5
"2015","Dawson Springs Independent",20.3
"2015","Dayton Independent",17.8
"2015","Edmonson County",18.4
"2015","Elizabethtown Independent",21.4
"2015","Elliott County",17.5
"2015","Eminence Independent",19.5
"2015","Erlanger-Elsmere Independent",19.1
"2015","Estill County",18.4
"2015","Fairview Independent",18.8
"2015","Fayette County",20.4
"2015","Fleming County",17.1
"2015","Floyd County",17.9
"2015","Fort Thomas Independent",24.1
"2015","Frankfort Independent",20
"2015","Franklin County",19.8
"2015","Fulton County",17.8
"2015","Fulton Independent",20.2
"2015","Gallatin County",18.2
"2015","Garrard County",18.9
"2015","Glasgow Independent",20.7
"2015","Grant County",18
"2015","Graves County",19.4
"2015","Grayson County",19.2
"2015","Green County",18.7
"2015","Greenup County",17.7
"2015","Hancock County",20.1
"2015","Hardin County",19.7
"2015","Harlan County",18.2
"2015","Harlan Independent",20.5
"2015","Harrison County",19.4
"2015","Hart County",18.9
"2015","Hazard Independent",20.6
"2015","Henderson County",19.3
"2015","Henry County",18.5
"2015","Hickman County",21.3
"2015","Hopkins County",19.3
"2015","Jackson County",17.7
"2015","Jackson Independent",19.6
"2015","Jefferson County",18.8
"2015","Jenkins Independent",17.7
"2015","Jessamine County",19.7
"2015","Johnson County",18.9
