"","sch.year","district.id","district.name","pct"
"124","2013",4290,"Morgan County School District",32.31
"125","2013",81,"Muhlenberg County School District",31.32
"126","2013",4380,"Murray Independent School District",24.41
"127","2013",4410,"Nelson County School District",15.01
"128","2013",4440,"Newport Independent School District",47.24
"129","2013",4470,"Nicholas County School District",29.34
"130","2013",4500,"Ohio County School District",23.71
"131","2013",4530,"Oldham County School District",5.59
"132","2013",4560,"Owen County School District",24.01
"133","2013",4590,"Owensboro Independent School District",28.92
"134","2013",4620,"Owsley County School District",52.44
"135","2013",4650,"Paducah Independent School District",41.98
"136","2013",4680,"Paintsville Independent School District",30.89
"137","2013",4710,"Paris Independent School District",33.29
"138","2013",4740,"Pendleton County School District",21.23
"139","2013",4770,"Perry County School District",34.16
"140","2013",4800,"Pike County School District",25.13
"141","2013",4830,"Pikeville Independent School District",27.82
"142","2013",4860,"Pineville Independent School District",47.12
"143","2013",4890,"Powell County School District",37.79
"144","2013",4950,"Pulaski County School District",28.74
"145","2013",4980,"Raceland-Worthington Independent School District",19.31
"146","2013",5040,"Robertson County School District",30.92
"147","2013",5070,"Rockcastle County School District",31.58
"148","2013",5100,"Rowan County School District",27.74
"149","2013",5160,"Russell County School District",34.76
"150","2013",5130,"Russell Independent School District",20.13
"151","2013",5190,"Russellville Independent School District",36.55
"152","2013",5220,"Science Hill Independent School District",33.22
"153","2013",5260,"Scott County School District",12.93
"154","2013",5320,"Shelby County School District",16.47
"155","2013",5370,"Silver Grove Independent School District",38.26
"156","2013",5400,"Simpson County School District",24.87
"157","2013",5430,"Somerset Independent School District",38.98
"158","2013",5460,"Southgate Independent School District",35.86
"159","2013",5490,"Spencer County School District",10.84
"160","2013",5520,"Taylor County School District",26.16
"161","2013",5550,"Todd County School District",27.91
"162","2013",5580,"Trigg County School District",25.98
"163","2013",5610,"Trimble County School District",21.18
"164","2013",5640,"Union County School District",20.42
"165","2013",5700,"Walton-Verona Independent School District",11.87
"166","2013",5730,"Warren County School District",17.5
"167","2013",5760,"Washington County School District",22.31
"168","2013",5790,"Wayne County School District",34.24
"169","2013",5820,"Webster County School District",22.15
"170","2013",5850,"West Point Independent School District",33.33
"171","2013",5880,"Whitley County School District",39.76
"172","2013",5910,"Williamsburg Independent School District",34.16
"173","2013",5940,"Williamstown Independent School District",23.87
"174","2013",5970,"Wolfe County School District",40.31
"175","2013",6000,"Woodford County School District",14.33
"176","2014",30,"Adair County School District",33.88
"177","2014",70,"Allen County School District",26.16
"178","2014",90,"Anchorage Independent School District",8.69
"179","2014",120,"Anderson County School District",15.21
"180","2014",150,"Ashland Independent School District",31.43
"181","2014",180,"Augusta Independent School District",22.09
"182","2014",210,"Ballard County School District",21.09
"183","2014",240,"Barbourville Independent School District",41.88
"184","2014",270,"Bardstown Independent School District",24.85
"185","2014",300,"Barren County School District",22.91
"186","2014",330,"Bath County School District",30.8
"187","2014",360,"Beechwood Independent School District",8.01
"188","2014",390,"Bell County School District",39.02
"189","2014",420,"Bellevue Independent School District",20.46
"190","2014",480,"Berea Independent School District",26.22
"191","2014",510,"Boone County School District",10.18
"192","2014",540,"Bourbon County School District",23.96
"193","2014",570,"Bowling Green Independent School District",31.54
"194","2014",620,"Boyd County School District",23.74
"195","2014",630,"Boyle County School District",17.85
"196","2014",660,"Bracken County School District",22.87
"197","2014",690,"Breathitt County School District",37.9
"198","2014",720,"Breckinridge County School District",24.41
"199","2014",750,"Bullitt County School District",14.9
"200","2014",780,"Burgin Independent School District",22.54
"201","2014",810,"Butler County School District",26.58
"202","2014",840,"Caldwell County School District",26.62
"203","2014",870,"Calloway County School District",22.01
"204","2014",900,"Campbell County School District",9.71
"205","2014",930,"Campbellsville Independent School District",41.49
"206","2014",960,"Carlisle County School District",24.7
"207","2014",990,"Carroll County School District",26.98
"208","2014",1020,"Carter County School District",28.1
"209","2014",1050,"Casey County School District",39.51
"210","2014",1110,"Caverna Independent School District",35.41
"211","2014",1150,"Christian County School District",31.07
"212","2014",1200,"Clark County School District",23.59
"213","2014",1230,"Clay County School District",40.85
"214","2014",1260,"Clinton County School District",33.16
"215","2014",1290,"Cloverport Independent School District",32.35
"216","2014",1320,"Corbin Independent School District",31.18
"217","2014",1350,"Covington Independent School District",46.71
"218","2014",1380,"Crittenden County School District",27.84
"219","2014",1410,"Cumberland County School District",35.31
"220","2014",1440,"Danville Independent School District",25.93
"221","2014",1470,"Daviess County School District",15.18
"222","2014",1500,"Dawson Springs Independent School District",38.19
"223","2014",1530,"Dayton Independent School District",34.85
"224","2014",1590,"East Bernstadt Independent School District",31.58
"225","2014",1620,"Edmonson County School District",25.03
"226","2014",1650,"Elizabethtown Independent School District",29.12
"227","2014",1680,"Elliott County School District",35.11
"228","2014",1710,"Eminence Independent School District",25.76
"229","2014",1740,"Erlanger-Elsmere Independent School District",30.33
"230","2014",1760,"Estill County School District",32.42
"231","2014",1800,"Fairview Independent School District",33.45
"232","2014",1860,"Fayette County School District",20.44
"233","2014",1920,"Fleming County School District",28.55
