"year","number","min","q1","median","mean","q3","max"
2013,82,0,0,0,0.163536585365854,0.155,1
2014,83,0,0,0,0.15,0.215,1.09
2015,85,0,0.01,0.21,0.468235294117647,0.8,1.98
2016,85,0,0,0.14,0.432,0.62,2.55
2017,85,0,0,0.15,0.46,0.62,3
