"year","number","min","q1","median","mean","q3","max"
2013,3171,0,0,0.13,0.278019552191738,0.46,1
2014,3187,0,0,0.1,0.253871979918419,0.37,2
2015,3214,0,0.03,0.28,0.496981953951462,0.75,3
2016,3236,0,0.03,0.28,0.484514833127318,0.71,3
2017,3250,0,0.04,0.34,0.583316923076923,0.87,3
