PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
020017,4137,618,4755,0.000130180,"$995,572",1582,$629.31,YES
020018,3146,439,3585,0.000098148,"$750,604",227,"$3,306.63",YES
020024,1687,185,1872,0.000051251,N/A,N/A,N/A,NO
020026,12659,1596,14255,0.000390267,"$2,984,621",1485,"$2,009.39",YES
020027,425,189,614,0.000016810,N/A,N/A,N/A,NO
030001,10239,1116,11355,0.000310872,"$2,377,437",559,"$4,253.02",YES
030002,47876,5218,53094,0.001453582,"$11,116,483",5997,"$1,853.67",YES
030006,39260,2752,42012,0.001150185,"$8,796,204",6294,"$1,397.48",YES
030007,6018,280,6298,0.000172424,N/A,1757,$750.65,SCH
030010,8920,2607,11527,0.000315581,"$2,413,450",2937,$821.83,YES
030011,11932,1496,13428,0.000367625,"$2,811,469",4146,$678.06,YES
030012,1345,436,1781,0.000048759,N/A,N/A,N/A,NO
030013,16223,2111,18334,0.000501940,N/A,5639,$680.69,SCH
030014,11606,1718,13324,0.000364778,"$2,789,694",3842,$726.04,YES
030016,8294,1418,9712,0.000265891,"$2,033,437",2298,$884.74,YES
030022,43246,1220,44466,0.001217369,"$9,310,007",734,"$12,683.93",YES
030023,22796,2044,24840,0.000680058,N/A,3621,"$1,436.43",SCH
030024,56756,2950,59706,0.001634603,"$12,500,861",5009,"$2,495.51",YES
030030,17072,1501,18573,0.000508483,"$3,888,696",2345,"$1,658.06",YES
030033,1076,89,1165,0.000031895,N/A,1186,$205.67,SCH
030036,17753,1340,19093,0.000522719,"$3,997,570",3995,"$1,000.56",YES
030037,8029,1346,9375,0.000256664,"$1,962,878",1326,"$1,480.30",YES
030038,10881,1391,12272,0.000335977,"$2,569,433",4203,$611.38,YES
030043,4479,263,4742,0.000129824,N/A,1695,$585.64,SCH
030055,7894,1283,9177,0.000251244,N/A,3096,$620.55,SCH
030061,3972,1185,5157,0.000141186,N/A,N/A,N/A,NO
030062,3842,216,4058,0.000111098,N/A,1155,$735.41,SCH
030064,47292,3783,51075,0.001398307,"$10,693,757",4543,"$2,353.73",YES
030065,50677,2192,52869,0.001447423,"$11,069,374",5215,"$2,122.60",YES
030067,233,49,282,0.000007720,N/A,N/A,N/A,NO
030068,1972,169,2141,0.000058615,N/A,454,$986.65,SCH
030069,3743,286,4029,0.000110304,"$843,566",3159,$267.01,YES
030071,6511,532,7043,0.000192820,"$1,474,618",501,"$2,941.39",YES
030073,5212,1081,6293,0.000172287,"$1,317,588",567,"$2,325.16",YES
030074,611,11,622,0.000017029,"$130,230",29,"$4,542.92",YES
030077,61,9,70,0.000001916,"$14,656",10,"$1,465.62",YES
030078,4915,271,5186,0.000141980,"$1,085,812",184,"$5,890.48",YES
030083,5183,419,5602,0.000153369,"$1,172,911",1011,"$1,159.77",YES
030084,3092,494,3586,0.000098176,"$750,814",417,"$1,800.51",YES
030085,12224,772,12996,0.000355798,"$2,721,019",4924,$552.60,YES
030087,7989,598,8587,0.000235091,N/A,N/A,N/A,NO
030088,9892,1161,11053,0.000302604,N/A,N/A,N/A,NO
030089,40029,2565,42594,0.001166118,"$8,918,060",5184,"$1,720.19",YES
030092,6881,862,7743,0.000211984,"$1,621,180",2506,$646.92,YES
030093,10232,779,11011,0.000301454,"$2,305,413",5888,$391.57,YES
030094,16874,444,17318,0.000474124,"$3,625,932",2220,"$1,633.06",YES
030100,513,254,767,0.000020999,N/A,N/A,N/A,NO
030101,3403,821,4224,0.000115643,"$884,394",2938,$300.98,YES
030103,1718,511,2229,0.000061025,N/A,N/A,N/A,NO
030105,1133,244,1377,0.000037699,N/A,N/A,N/A,NO
030107,0,3,3,0.000000082,N/A,N/A,N/A,NO
030108,37,1,38,0.000001040,N/A,N/A,N/A,NO
030110,9832,955,10787,0.000295321,"$2,258,513",1991,"$1,134.36",YES
030111,10847,2028,12875,0.000352486,"$2,695,685",1046,"$2,577.14",YES
030112,0,16,16,0.000000438,N/A,N/A,N/A,NO
030113,2835,313,3148,0.000086184,"$659,108",186,"$3,549.95",YES
030114,590,149,739,0.000020232,N/A,N/A,N/A,NO
030115,23211,1603,24814,0.000679346,"$5,195,397",2774,"$1,873.12",YES
030117,2590,200,2790,0.000076383,"$584,152",1147,$509.44,YES
030118,4077,207,4284,0.000117285,"$896,957",1144,$784.28,YES
030119,9836,923,10759,0.000294555,"$2,252,651",2964,$760.00,YES
030120,563,20,583,0.000015961,"$122,065",333,$366.93,YES
030121,9233,882,10115,0.000276924,"$2,117,814",2595,$816.22,YES
030122,12500,582,13082,0.000358153,"$2,739,026",2246,"$1,219.33",YES
030123,490,53,543,0.000014866,N/A,N/A,N/A,NO
030126,1250,244,1494,0.000040902,"$312,804",768,$407.30,YES
030128,1645,0,1645,0.000045036,N/A,N/A,N/A,NO
030129,0,0,0,,N/A,N/A,N/A,NO
030130,2761,81,2842,0.000077807,"$595,040",319,"$1,865.33",YES
030131,0,12,12,0.000000329,N/A,N/A,N/A,NO
030132,271,6,277,0.000007584,"$57,996",137,$423.33,YES
030134,,,,,N/A,N/A,N/A,NO
040001,1932,411,2343,0.000064146,"$490,562",809,$606.38,YES
040002,2009,320,2329,0.000063762,"$487,631",682,$715.00,YES
040004,7583,1584,9167,0.000250970,"$1,919,328",4905,$391.30,YES
040007,16077,6297,22374,0.000612545,"$4,684,525",8336,$561.94,YES
040010,4651,549,5200,0.000142363,"$1,088,743",3021,$360.43,YES
040011,637,481,1118,0.000030608,"$234,080",1083,$216.14,YES
040014,8012,3224,11236,0.000307614,"$2,352,522",5231,$449.70,YES
040015,2053,201,2254,0.000061709,"$471,928",611,$771.97,YES
040016,50090,5234,55324,0.001514634,"$11,583,386",5839,"$1,983.68",YES
040017,2728,764,3492,0.000095602,"$731,133",1822,$401.35,YES
040018,737,501,1238,0.000033893,"$259,205",669,$387.26,YES
040019,3257,607,3864,0.000105787,"$809,020",515,"$1,570.91",YES
040020,13444,4509,17953,0.000491509,"$3,758,884",7233,$519.69,YES
040022,16402,2438,18840,0.000515793,"$3,944,599",4659,$846.66,YES
040026,6463,1826,8289,0.000226932,"$1,735,498",5505,$315.26,YES
040027,3676,1150,4826,0.000132124,"$1,010,437",5082,$198.83,YES
040029,5473,898,6371,0.000174422,"$1,333,919",3319,$401.86,YES
040036,6138,2474,8612,0.000235775,"$1,803,126",5490,$328.44,YES
040039,3028,1131,4159,0.000113863,"$870,785",1861,$467.83,YES
