PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
100302,2525,953,3478,0.000095219,"$728,201",1604,$453.99,YES
100307,7891,1924,9815,0.000268710,"$2,055,002",3761,$546.35,YES
100313,185,44,229,0.000006269,"$47,947",234,$204.61,YES
100314,4233,3278,7511,0.000205633,"$1,572,605",915,"$1,718.69",YES
100315,668,125,793,0.000021710,N/A,N/A,N/A,NO
100316,3448,935,4383,0.000119996,"$917,685",1596,$575.11,YES
100317,0,17,17,0.000000465,N/A,N/A,N/A,NO
100319,,,,,N/A,N/A,N/A,NO
100320,,,,,N/A,N/A,N/A,NO
110001,12482,1326,13808,0.000378029,"$2,891,031",3486,$829.41,YES
110002,3647,544,4191,0.000114739,N/A,1295,$677.59,SCH
110003,3794,2151,5945,0.000162759,N/A,3166,$393.15,SCH
110004,3974,457,4431,0.000121310,"$927,734",878,"$1,057.05",YES
110005,11235,887,12122,0.000331870,"$2,538,027",3209,$790.91,YES
110006,6698,1327,8025,0.000219705,"$1,680,223",2710,$620.01,YES
110007,38672,7070,45742,0.001252303,"$9,577,168",5913,"$1,619.68",YES
110008,4167,480,4647,0.000127223,"$972,959",1517,$641.37,YES
110010,20172,4641,24813,0.000679319,"$5,195,187",8251,$629.64,YES
110011,6333,1009,7342,0.000201006,"$1,537,221",2674,$574.81,YES
110015,2567,281,2848,0.000077971,"$596,296",659,$904.39,YES
110016,7152,1124,8276,0.000226576,"$1,732,776",2678,$647.12,YES
110018,5255,659,5914,0.000161911,"$1,238,236",2106,$587.86,YES
110023,4287,938,5225,0.000143048,"$1,093,977",1855,$589.64,YES
110024,16712,2675,19387,0.000530768,"$4,059,126",3401,"$1,193.51",YES
110025,9811,2776,12587,0.000344601,N/A,4440,$593.60,SCH
110026,387,172,559,0.000015304,N/A,N/A,N/A,NO
110027,1475,192,1667,0.000045638,"$349,026",533,$655.24,YES
110028,24092,5183,29275,0.000801477,"$6,129,413",7938,$772.13,YES
110029,25724,3120,28844,0.000789677,"$6,039,173",9333,$647.08,YES
110030,5392,1285,6677,0.000182800,"$1,397,988",2475,$564.92,YES
110031,8010,1918,9928,0.000271804,"$2,078,661",3269,$635.94,YES
110032,3049,829,3878,0.000106170,"$811,951",1098,$739.71,YES
110034,39961,5277,45238,0.001238505,"$9,471,644",4494,"$2,107.62",YES
110035,30775,3629,34404,0.000941896,"$7,203,290",11232,$641.32,YES
110036,39185,4811,43996,0.001204502,"$9,211,602",7004,"$1,315.25",YES
110038,10235,4156,14391,0.000393990,"$3,013,096",3883,$775.90,YES
110039,2436,570,3006,0.000082297,"$629,377",1310,$480.32,YES
110040,358,231,589,0.000016125,"$123,321",526,$234.45,YES
110041,1658,315,1973,0.000054016,"$413,094",865,$477.75,YES
110042,613,198,811,0.000022203,"$169,802",790,$215.03,YES
110043,4849,2486,7335,0.000200814,"$1,535,755",4785,$320.95,YES
110044,2630,466,3096,0.000084761,"$648,221",796,$814.01,YES
110045,1199,412,1611,0.000044105,"$337,301",776,$434.67,YES
110046,2445,682,3127,0.000085610,"$654,711",1366,$479.17,YES
110050,23,80,103,0.000002820,N/A,N/A,N/A,NO
110051,138,172,310,0.000008487,N/A,741,$87.55,SCH
110054,17756,2084,19840,0.000543170,"$4,153,972",4188,$991.95,YES
110059,70,90,160,0.000004380,N/A,N/A,N/A,NO
110064,32543,3274,35817,0.000980581,"$7,499,135",2813,"$2,665.57",YES
110069,13770,2892,16662,0.000456164,"$3,488,583",4882,$714.58,YES
110071,1943,340,2283,0.000062503,"$478,000",529,$903.02,YES
110073,1033,419,1452,0.000039752,"$304,010",625,$486.42,YES
110074,20711,3547,24258,0.000664124,"$5,078,985",7144,$710.91,YES
110075,9758,2176,11934,0.000326723,"$2,498,665",2854,$875.60,YES
110076,41772,4169,45941,0.001257751,"$9,618,833",5034,"$1,910.65",YES
110078,36542,7167,43709,0.001196644,"$9,151,511",6200,"$1,476.13",YES
110079,67573,6095,73668,0.002016848,"$15,424,135",4275,"$3,607.98",YES
110082,2135,1124,3259,0.000089223,N/A,N/A,N/A,NO
110083,10234,3089,13323,0.000364751,N/A,N/A,N/A,NO
110086,1427,349,1776,0.000048622,"$371,848",429,$867.45,YES
110087,33400,2317,35717,0.000977843,"$7,478,197",6909,"$1,082.33",YES
110089,5286,2174,7460,0.000204236,N/A,2306,$677.23,SCH
110091,14207,1310,15517,0.000424817,"$3,248,850",2643,"$1,229.07",YES
110092,1631,573,2204,0.000060340,"$461,459",670,$689.09,YES
110095,10257,2535,12792,0.000350213,"$2,678,307",3542,$756.09,YES
110100,205,162,367,0.000010048,"$76,840",335,$229.37,YES
110101,1078,160,1238,0.000033893,"$259,205",319,$811.71,YES
110104,3375,1121,4496,0.000123089,"$941,344",1158,$813.14,YES
110105,4425,1245,5670,0.000155231,N/A,1566,$757.92,SCH
110107,46163,8284,54447,0.001490624,"$11,399,765",9825,"$1,160.32",YES
110109,1255,376,1631,0.000044653,N/A,610,$560.12,SCH
110111,324,77,401,0.000010978,"$83,959",256,$327.54,YES
110113,612,116,728,0.000019931,"$152,424",208,$733.98,YES
110115,44392,5293,49685,0.001360252,"$10,402,728",2447,"$4,251.80",YES
110121,796,316,1112,0.000030444,"$232,823",380,$612.69,YES
110122,17601,3935,21536,0.000589602,"$4,509,070",4985,$904.59,YES
110124,3248,735,3983,0.000109045,N/A,1310,$636.75,SCH
110125,8300,1544,9844,0.000269504,"$2,061,074",2231,$923.97,YES
110128,4469,1099,5568,0.000152438,"$1,165,792",1582,$737.07,YES
110129,8130,3029,11159,0.000305506,"$2,336,400",5965,$391.66,YES
110130,2572,155,2727,0.000074659,"$570,962",173,"$3,294.01",YES
110132,2039,446,2485,0.000068033,"$520,293",607,$857.16,YES
110135,1645,217,1862,0.000050977,"$389,854",467,$834.21,YES
110142,306,223,529,0.000014483,"$110,759",420,$263.92,YES
110143,26988,2925,29913,0.000818944,"$6,262,993",5566,"$1,125.16",YES
110146,2387,65,2452,0.000067130,N/A,417,"$1,230.15",SCH
110150,3766,735,4501,0.000123226,"$942,391",1193,$789.93,YES
110153,354,286,640,0.000017522,N/A,N/A,N/A,NO
110161,47637,854,48491,0.001327564,"$10,152,736",2399,"$4,232.07",YES
110163,980,1232,2212,0.000060559,N/A,N/A,N/A,NO
110164,10436,3060,13496,0.000369487,"$2,825,706",4234,$667.38,YES
110165,28968,2540,31508,0.000862611,"$6,596,944",3326,"$1,983.65",YES
110168,3197,1947,5144,0.000140830,N/A,N/A,N/A,NO
110177,14166,2749,16915,0.000463091,"$3,541,555",3288,"$1,077.01",YES
110183,698,203,901,0.000024667,"$188,646",607,$310.78,YES
110184,4686,1110,5796,0.000158680,"$1,213,529",2398,$505.99,YES
110186,4101,950,5051,0.000138284,"$1,057,546",893,"$1,184.26",YES
110187,691,201,892,0.000024421,"$186,761",570,$327.65,YES
110189,1237,262,1499,0.000041039,"$313,851",798,$393.46,YES
110190,400,151,551,0.000015085,"$115,365",207,$558.22,YES
110191,11756,1533,13289,0.000363820,"$2,782,366",3910,$711.60,YES
110192,9205,1308,10513,0.000287820,"$2,201,145",3161,$696.34,YES
110194,2069,550,2619,0.000071702,"$548,349",586,$936.28,YES
110198,7926,492,8418,0.000230464,"$1,762,507",2371,$743.36,YES
110200,79,115,194,0.000005311,N/A,N/A,N/A,NO
110201,680,380,1060,0.000029020,N/A,N/A,N/A,NO
110203,164,60,224,0.000006133,N/A,N/A,N/A,NO
110205,339,143,482,0.000013196,"$100,918",404,$249.59,YES
110209,0,2096,2096,0.000057383,"$438,847",2057,$213.34,YES
110212,1587,0,1587,0.000043448,N/A,N/A,N/A,NO
110215,9968,998,10966,0.000300222,"$2,295,991",4178,$549.59,YES
110225,2178,307,2485,0.000068033,"$520,293",1285,$404.90,YES
110226,4728,1647,6375,0.000174532,"$1,334,757",1459,$914.63,YES
110229,5634,1104,6738,0.000184470,"$1,410,759",2372,$594.76,YES
110230,374,342,716,0.000019602,N/A,N/A,N/A,NO
110233,,,,,N/A,N/A,N/A,NO
120001,37698,5960,43658,0.001195248,"$9,140,833",5132,"$1,781.03",YES
120002,13357,1368,14725,0.000403134,N/A,1652,"$1,866.24",SCH
120004,2934,957,3891,0.000106526,"$814,673",778,"$1,046.69",YES
120005,10759,1641,12400,0.000339481,N/A,1666,"$1,558.05",SCH
120006,11062,1064,12126,0.000331980,"$2,538,864",1740,"$1,459.12",YES
120007,2888,2248,5136,0.000140611,N/A,N/A,N/A,NO
120010,0,470,470,0.000012867,N/A,N/A,N/A,NO
120011,9722,424,10146,0.000277772,N/A,N/A,N/A,NO
120014,3548,447,3995,0.000109373,N/A,773,"$1,081.61",SCH
120019,3493,343,3836,0.000105020,N/A,520,"$1,545.52",SCH
120022,7579,1648,9227,0.000252612,"$1,931,890",2217,$871.27,YES
120026,8568,2529,11097,0.000303808,"$2,323,419",1948,"$1,192.92",YES
120027,0,529,529,0.000014483,N/A,N/A,N/A,NO
120028,1797,103,1900,0.000052017,N/A,325,"$1,222.78",SCH
130002,6578,911,7489,0.000205030,N/A,3162,$495.89,SCH
130003,2968,682,3650,0.000099928,N/A,1822,$419.51,SCH
130006,30762,2068,32830,0.000898804,"$6,873,736",6045,"$1,137.03",YES
130007,14841,2253,17094,0.000467991,"$3,579,033",4193,$853.64,YES
130013,4243,623,4866,0.000133219,"$1,018,812",1234,$825.39,YES
130014,4050,916,4966,0.000135957,"$1,039,749",1173,$886.40,YES
130018,12247,1019,13266,0.000363190,"$2,777,550",3179,$873.63,YES
130025,3824,93,3917,0.000107238,"$820,116",531,"$1,544.48",YES
130028,5302,709,6011,0.000164566,N/A,2491,$505.17,SCH
130049,10734,1425,12159,0.000332883,"$2,545,774",4103,$620.47,YES
130063,30,6,36,0.000000986,N/A,N/A,N/A,NO
130065,2461,13,2474,0.000067732,"$517,990",350,"$1,481.38",YES
130066,46,16,62,0.000001697,N/A,N/A,N/A,NO
130067,0,0,0,,N/A,N/A,N/A,NO
140001,1612,147,1759,0.000048157,N/A,1037,$355.03,SCH
140002,3995,557,4552,0.000124623,"$953,069",2916,$326.84,YES
140007,16231,1993,18224,0.000498928,"$3,815,625",10512,$362.98,YES
140008,5469,995,6464,0.000176968,"$1,353,391",3155,$429.01,YES
140010,25185,3133,28318,0.000775277,N/A,N/A,N/A,NO
140011,1847,597,2444,0.000066911,N/A,N/A,N/A,NO
140012,2738,237,2975,0.000081448,"$622,887",1789,$348.11,YES
140013,1103,315,1418,0.000038821,N/A,N/A,N/A,NO
140015,5903,1096,6999,0.000191615,N/A,5444,$269.19,SCH
140018,38435,2433,40868,0.001118865,"$8,556,681",2431,"$3,520.30",YES
140019,212,51,263,0.000007200,N/A,445,$123.83,SCH
140026,1232,146,1378,0.000037726,"$288,517",1218,$236.81,YES
140029,12851,744,13595,0.000372197,"$2,846,434",3414,$833.75,YES
140030,12191,653,12844,0.000351637,"$2,689,195",5473,$491.33,YES
140032,2910,603,3513,0.000096177,"$735,530",3393,$216.80,YES
140033,2459,0,2459,0.000067321,N/A,N/A,N/A,NO
140034,4027,718,4745,0.000129906,"$993,478",3241,$306.53,YES
140040,2223,236,2459,0.000067321,"$514,850",1758,$292.86,YES
140043,3047,223,3270,0.000089525,"$684,652",2850,$240.20,YES
140046,4242,994,5236,0.000143349,"$1,096,280",3346,$327.61,YES
140048,13772,2732,16504,0.000451839,"$3,455,502",3762,$918.61,YES
140049,12911,1324,14235,0.000389719,"$2,980,433",2552,"$1,167.88",YES
140052,2124,593,2717,0.000074385,"$568,868",1647,$345.33,YES
140053,24757,1439,26196,0.000717182,"$5,484,751",7546,$726.81,YES
140054,18933,1300,20233,0.000553930,"$4,236,256",4218,"$1,004.25",YES
140058,1234,309,1543,0.000042244,N/A,1824,$177.12,SCH
140059,497,105,602,0.000016481,"$126,043",759,$165.99,YES
140062,2906,403,3309,0.000090592,N/A,N/A,N/A,NO
140063,2872,822,3694,0.000101133,"$773,426",2146,$360.46,YES
140064,1980,296,2276,0.000062311,"$476,534",1753,$271.79,YES
140065,3162,336,3498,0.000095767,N/A,N/A,N/A,NO
140067,49247,3143,52390,0.001434309,"$10,969,084",10678,"$1,027.26",YES
140068,12038,1522,13560,0.000371239,"$2,839,106",1136,"$2,499.21",YES
140077,5686,720,6406,0.000175380,"$1,341,247",561,"$2,389.40",YES
140080,10702,1610,12312,0.000337072,"$2,577,808",3605,$715.00,YES
140082,6519,2060,8579,0.000234872,"$1,796,216",2929,$613.18,YES
140083,11564,2744,14308,0.000391718,"$2,995,718",1807,"$1,657.84",YES
140084,11548,1482,13030,0.000356729,"$2,728,138",4599,$593.20,YES
140088,55756,4431,60187,0.001647771,"$12,601,570",6901,"$1,825.96",YES
140089,1114,170,1284,0.000035153,N/A,974,$276.11,SCH
140091,24139,1850,25989,0.000711515,"$5,441,411",5874,$926.30,YES
140093,4262,984,5246,0.000143623,"$1,098,374",2862,$383.82,YES
140095,13059,1033,14092,0.000385804,"$2,950,493",1165,"$2,533.34",YES
140100,26,84,110,0.000003012,N/A,N/A,N/A,NO
140101,2080,172,2252,0.000061654,N/A,N/A,N/A,NO
140103,17389,2254,19643,0.000537777,"$4,112,726",1751,"$2,349.23",YES
140110,2384,131,2515,0.000068854,"$526,575",1254,$419.80,YES
140113,4906,807,5713,0.000156408,"$1,196,151",3056,$391.37,YES
140114,17405,2960,20365,0.000557543,"$4,263,894",4760,$895.71,YES
140115,8558,2341,10899,0.000298388,"$2,281,963",1899,"$1,201.88",YES
140116,4080,396,4476,0.000122542,N/A,N/A,N/A,NO
140117,1787,656,2443,0.000066883,N/A,N/A,N/A,NO
140118,13474,1254,14728,0.000403216,"$3,083,655",3886,$793.53,YES
140119,49050,5166,54216,0.001484300,"$11,351,400",9640,"$1,177.53",YES
140120,2707,182,2889,0.000079094,"$604,880",1610,$375.62,YES
140122,6951,282,7233,0.000198022,N/A,N/A,N/A,NO
140124,52380,1616,53996,0.001478277,"$11,305,338",2423,"$4,665.84",YES
140125,12362,1374,13736,0.000376058,"$2,875,956",2047,"$1,405.19",YES
140127,5926,998,6924,0.000189562,"$1,449,703",3205,$452.37,YES
140130,2058,224,2282,0.000062476,N/A,N/A,N/A,NO
140133,11686,2408,14094,0.000385859,"$2,950,912",3481,$847.72,YES
140135,7860,1259,9119,0.000249656,"$1,909,278",5582,$342.02,YES
140137,1119,72,1191,0.000032607,"$249,364",388,$643.24,YES
140143,919,108,1027,0.000028117,N/A,N/A,N/A,NO
140145,945,9,954,0.000026118,"$199,742",615,$324.96,YES
140147,1511,147,1658,0.000045392,"$347,141",986,$352.07,YES
140148,14369,2811,17180,0.000470346,"$3,597,039",11644,$308.93,YES
140150,42433,4289,46722,0.001279133,"$9,782,354",3940,"$2,482.62",YES
140155,5311,1078,6389,0.000174915,"$1,337,688",3102,$431.19,YES
140158,22516,4015,26531,0.000726353,"$5,554,891",4855,"$1,144.16",YES
140160,3156,360,3516,0.000096259,"$736,158",2167,$339.71,YES
140161,1186,43,1229,0.000033647,N/A,623,$412.81,SCH
140162,3574,408,3982,0.000109017,"$833,726",2643,$315.49,YES
140164,9521,1106,10627,0.000290941,"$2,225,013",4271,$520.96,YES
140166,10564,1017,11581,0.000317059,"$2,424,756",3249,$746.31,YES
140167,591,85,676,0.000018507,N/A,691,$204.93,SCH
140172,16289,2357,18646,0.000510481,"$3,903,980",8742,$446.56,YES
140174,7703,641,8344,0.000228438,"$1,747,013",2756,$633.82,YES
140176,4195,278,4473,0.000122460,"$936,528",2671,$350.63,YES
140177,16544,3359,19903,0.000544895,"$4,167,163",2505,"$1,663.76",YES
140179,9459,1318,10777,0.000295048,"$2,256,419",5672,$397.84,YES
140180,62081,8525,70606,0.001933018,"$14,783,033",5873,"$2,516.98",YES
140181,6566,2702,9268,0.000253735,"$1,940,475",1955,$992.57,YES
140182,21676,1760,23436,0.000641620,"$4,906,880",3648,"$1,345.09",YES
140184,5010,698,5708,0.000156271,"$1,195,105",2031,$588.53,YES
140185,11707,2073,13780,0.000377262,"$2,885,168",6549,$440.57,YES
140186,17222,1050,18272,0.000500242,"$3,825,675",5171,$739.88,YES
140187,6684,1187,7871,0.000215489,"$1,647,980",3820,$431.45,YES
140189,3358,475,3833,0.000104938,N/A,2796,$286.99,SCH
140191,21833,2910,24743,0.000677402,"$5,180,531",6378,$812.29,YES
140197,11469,2295,13764,0.000376824,"$2,881,818",1989,"$1,448.64",YES
140200,6273,667,6940,0.000190000,N/A,N/A,N/A,NO
140202,15931,1351,17282,0.000473138,"$3,618,395",6952,$520.48,YES
140206,20739,2506,23245,0.000636391,"$4,866,890",1755,"$2,773.68",YES
140208,48029,3777,51806,0.001418320,"$10,846,809",12778,$848.84,YES
140209,15783,1108,16891,0.000462434,"$3,536,530",5136,$688.58,YES
140210,328,142,470,0.000012867,N/A,835,$117.90,SCH
140211,2683,90,2773,0.000075918,N/A,N/A,N/A,NO
140213,8787,960,9747,0.000266849,"$2,040,765",6765,$301.67,YES
140217,3773,811,4584,0.000125499,"$959,769",2991,$320.85,YES
140223,30518,1440,31958,0.000874931,"$6,691,162",10090,$663.17,YES
140224,10674,2104,12778,0.000349830,"$2,675,376",3856,$693.76,YES
140228,17752,1926,19678,0.000538735,"$4,120,054",5480,$751.88,YES
140231,7385,803,8188,0.000224167,N/A,N/A,N/A,NO
140233,4568,694,5262,0.000144061,N/A,N/A,N/A,NO
140234,1591,134,1725,0.000047226,"$361,169",1460,$247.43,YES
140239,20663,1364,22027,0.000603045,"$4,611,873",4618,$998.60,YES
140240,8472,709,9181,0.000251353,"$1,922,259",1561,"$1,231.17",YES
140242,14117,821,14938,0.000408966,"$3,127,623",7475,$418.39,YES
140250,7796,1234,9030,0.000247219,"$1,890,644",4377,$431.98,YES
140251,7572,1661,9233,0.000252777,"$1,933,147",3788,$510.29,YES
140252,8728,1068,9796,0.000268190,N/A,N/A,N/A,NO
140258,13375,1201,14576,0.000399055,"$3,051,830",8364,$364.88,YES
140275,3123,177,3300,0.000090346,"$690,933",1878,$367.91,YES
140276,29668,2138,31806,0.000870770,"$6,659,337",7843,$849.04,YES
140280,13091,1472,14563,0.000398699,"$3,049,108",6083,$501.25,YES
140281,43141,5001,48142,0.001318009,"$10,079,665",12931,$779.50,YES
140286,2665,237,2902,0.000079450,N/A,N/A,N/A,NO
140288,8641,766,9407,0.000257540,"$1,969,578",7203,$273.45,YES
140289,4966,299,5265,0.000144143,"$1,102,352",2379,$463.30,YES
140290,18325,791,19116,0.000523349,"$4,002,386",5835,$685.97,YES
140291,2407,198,2605,0.000071318,N/A,N/A,N/A,NO
140292,9747,913,10660,0.000291844,"$2,231,923",1631,"$1,368.72",YES
140294,523,184,707,0.000019356,"$148,027",828,$178.85,YES
140300,2353,116,2469,0.000067595,"$516,943",283,"$1,824.51",YES
140301,1557,0,1557,0.000042627,N/A,N/A,N/A,NO
140304,5909,560,6469,0.000177105,"$1,354,438",1827,$741.21,YES
140306,37,0,37,0.000001013,N/A,N/A,N/A,NO
150001,1505,151,1656,0.000045337,"$346,723",937,$370.17,YES
150002,27331,4228,31559,0.000864007,"$6,607,622",7141,$925.31,YES
150003,1521,444,1965,0.000053797,"$411,419",1653,$248.94,YES
150004,8619,2042,10661,0.000291872,"$2,232,132",3813,$585.35,YES
150005,3322,168,3490,0.000095548,"$730,714",2209,$330.74,YES
150006,4435,439,4874,0.000133438,"$1,020,487",2527,$403.83,YES
150007,3432,776,4208,0.000115205,"$881,044",2182,$403.78,YES
150008,10130,1620,11750,0.000321686,"$2,460,140",2806,$876.74,YES
150009,9723,2492,12215,0.000334417,"$2,557,499",5282,$484.22,YES
150010,5405,559,5964,0.000163280,"$1,248,704",2045,$610.61,YES
150011,4820,563,5383,0.000147373,"$1,127,058",2090,$539.35,YES
150012,10819,1306,12125,0.000331953,"$2,538,655",5532,$458.93,YES
150015,5034,696,5730,0.000156873,"$1,199,711",3024,$396.73,YES
150017,16942,1898,18840,0.000515793,"$3,944,599",6243,$631.84,YES
150018,9867,668,10535,0.000288422,"$2,205,751",4620,$477.44,YES
150021,29019,2528,31547,0.000863679,"$6,605,109",6703,$985.35,YES
150022,125,37,162,0.000004435,N/A,N/A,N/A,NO
150023,14710,2149,16859,0.000461558,"$3,529,830",7474,$472.26,YES
150024,36538,3236,39774,0.001088914,"$8,327,626",3004,"$2,772.18",YES
150026,4231,327,4558,0.000124787,"$954,325",2114,$451.43,YES
150030,1928,305,2233,0.000061134,"$467,531",1283,$364.40,YES
150033,4599,251,4850,0.000132781,N/A,N/A,N/A,NO
150034,6338,1635,7973,0.000218281,"$1,669,336",5484,$304.40,YES
150035,7917,783,8700,0.000238184,"$1,821,550",5442,$334.70,YES
150037,1322,105,1427,0.000039068,"$298,776",1337,$223.47,YES
150038,1057,112,1169,0.000032004,"$244,758",628,$389.53,YES
150042,2856,769,3625,0.000099244,"$758,979",3361,$225.82,YES
150044,8123,2484,10607,0.000290393,"$2,220,826",6521,$340.58,YES
150045,1534,105,1639,0.000044872,"$343,163",536,$640.23,YES
150046,3350,874,4224,0.000115643,"$884,394",2478,$356.85,YES
150047,6905,1068,7973,0.000218281,"$1,669,336",1261,"$1,323.47",YES
150048,7061,1347,8408,0.000230190,N/A,5455,$322.70,SCH
150051,10814,1396,12210,0.000334280,"$2,556,452",4859,$526.09,YES
150056,125206,10425,135631,0.003713242,"$28,397,553",15285,"$1,857.91",YES
150057,1149,83,1232,0.000033729,N/A,N/A,N/A,NO
150058,32591,2168,34759,0.000951616,"$7,277,617",5768,"$1,261.80",YES
150059,2886,275,3161,0.000086540,"$661,830",1754,$377.33,YES
150061,1584,193,1777,0.000048650,"$372,057",898,$414.47,YES
150064,1267,195,1462,0.000040026,"$306,104",803,$381.36,YES
150065,3325,284,3609,0.000098805,"$755,629",1250,$604.50,YES
150069,2749,399,3148,0.000086184,N/A,1784,$369.46,SCH
150072,1697,123,1820,0.000049827,N/A,806,$472.58,SCH
150074,18861,3197,22058,0.000603894,"$4,618,363",4402,"$1,049.15",YES
150075,1447,104,1551,0.000042463,"$324,738",937,$346.45,YES
150076,1314,101,1415,0.000038739,"$296,264",864,$343.03,YES
150082,16604,4034,20638,0.000565017,"$4,321,053",10332,$418.23,YES
150084,53784,3155,56939,0.001558849,"$11,921,524",10547,"$1,130.29",YES
150086,2845,368,3213,0.000087964,"$672,717",1763,$381.58,YES
150088,6284,900,7184,0.000196680,"$1,504,140",3061,$491.33,YES
150089,17583,2322,19905,0.000544950,"$4,167,582",7315,$569.70,YES
150090,2652,510,3162,0.000086568,N/A,N/A,N/A,NO
150091,1767,108,1875,0.000051333,"$392,576",556,$706.07,YES
150097,1721,262,1983,0.000054290,"$415,188",1247,$332.86,YES
150100,15921,1872,17793,0.000487128,"$3,725,385",6617,$563.03,YES
150101,1041,74,1115,0.000030526,"$233,452",390,$598.08,YES
150102,283,75,358,0.000009801,"$74,956",420,$178.61,YES
150104,1931,143,2074,0.000056781,"$434,241",912,$476.32,YES
150109,9371,354,9725,0.000266246,"$2,036,158",3052,$667.23,YES
150112,7149,1096,8245,0.000225728,"$1,726,285",3836,$450.06,YES
150113,4907,674,5581,0.000152794,"$1,168,514",2768,$422.10,YES
150115,2820,233,3053,0.000083584,"$639,218",2588,$246.99,YES
150125,14649,1832,16481,0.000451209,"$3,450,687",10135,$340.47,YES
150126,4471,463,4934,0.000135081,N/A,N/A,N/A,NO
150128,4635,463,5098,0.000139571,"$1,067,387",3147,$339.21,YES
150129,254,244,498,0.000013634,"$104,268",585,$178.24,YES
150133,2477,148,2625,0.000071866,"$549,606",1321,$415.95,YES
150146,1197,96,1293,0.000035399,"$270,720",639,$423.66,YES
150149,8796,43,8839,0.000241990,"$1,850,653",36,"$51,887.48",YES
150150,6437,140,6577,0.000180062,"$1,377,050",679,"$2,027.06",YES
150153,767,198,965,0.000026419,N/A,N/A,N/A,NO
150154,2000,199,2199,0.000060203,N/A,N/A,N/A,NO
150157,2329,163,2492,0.000068225,N/A,N/A,N/A,NO
150158,4653,431,5084,0.000139187,"$1,064,455",2501,$425.67,YES
150160,113,46,159,0.000004353,N/A,N/A,N/A,NO
150161,5648,211,5859,0.000160405,"$1,226,720",1694,$724.16,YES
150162,15480,1135,16615,0.000454878,"$3,478,743",5780,$601.86,YES
150163,127,86,213,0.000005831,"$44,597",344,$129.52,YES
150164,265,97,362,0.000009911,N/A,N/A,N/A,NO
150165,29,39,68,0.000001862,N/A,N/A,N/A,NO
150166,0,57,57,0.000001561,N/A,N/A,N/A,NO
150167,111,39,150,0.000004107,N/A,N/A,N/A,NO
150168,122,55,177,0.000004846,N/A,N/A,N/A,NO
150169,16879,869,17748,0.000485896,"$3,715,963",4156,$894.19,YES
150170,0,0,0,,N/A,N/A,N/A,NO
150172,16,3,19,0.000000520,N/A,N/A,N/A,NO
150173,6386,608,6994,0.000191478,"$1,464,359",3850,$380.32,YES
150175,292,49,341,0.000009336,N/A,N/A,N/A,NO
150176,0,249,249,0.000006817,"$52,134",740,$70.45,YES
150177,24,123,147,0.000004024,N/A,N/A,N/A,NO
150178,0,0,0,,N/A,N/A,N/A,NO
150179,0,287,287,0.000007857,"$60,090",298,$201.98,YES
150180,,,,,N/A,N/A,N/A,NO
150181,,,,,N/A,N/A,N/A,NO
150182,,,,,N/A,N/A,N/A,NO
160001,2104,143,2247,0.000061517,N/A,1236,$380.74,SCH
160005,823,99,922,0.000025242,N/A,N/A,N/A,NO
160008,990,193,1183,0.000032388,"$247,689",821,$301.81,YES
160013,1184,106,1290,0.000035317,N/A,628,$429.85,SCH
160016,2538,308,2846,0.000077916,N/A,2243,$265.62,SCH
160024,8773,1431,10204,0.000279360,"$2,136,448",2360,$905.27,YES
160028,8468,1122,9590,0.000262550,"$2,007,893",2333,$860.77,YES
160029,2716,390,3106,0.000085035,N/A,N/A,N/A,NO
160030,2358,365,2723,0.000074549,N/A,N/A,N/A,NO
160032,790,169,959,0.000026255,N/A,N/A,N/A,NO
160033,10921,1412,12333,0.000337647,"$2,582,205",6675,$386.85,YES
160040,100,27,127,0.000003477,N/A,N/A,N/A,NO
160045,15504,1043,16547,0.000453016,"$3,464,505",4633,$747.79,YES
160047,4190,849,5039,0.000137955,"$1,055,034",2139,$493.31,YES
160057,5134,796,5930,0.000162349,"$1,241,586",3179,$390.52,YES
160058,66464,3349,69813,0.001911307,"$14,617,000",7523,"$1,942.97",YES
160064,8165,1174,9339,0.000255679,N/A,5517,$354.44,SCH
160067,9207,968,10175,0.000278566,"$2,130,377",2417,$881.29,YES
160069,3923,457,4380,0.000119914,"$917,056",3941,$232.70,YES
160079,3151,885,4036,0.000110496,N/A,N/A,N/A,NO
160080,2983,347,3330,0.000091167,N/A,2409,$289.38,SCH
160082,26829,1818,28647,0.000784284,"$5,997,926",8080,$742.35,YES
160083,38282,3907,42189,0.001155031,"$8,833,263",10908,$809.77,YES
160089,2564,495,3059,0.000083748,N/A,1512,$423.50,SCH
160101,12026,740,12766,0.000349502,"$2,672,864",374,"$7,146.69",YES
160104,1847,176,2023,0.000055385,"$423,563",1383,$306.34,YES
160110,8697,1438,10135,0.000277471,"$2,122,002",4994,$424.91,YES
160112,519,93,612,0.000016755,N/A,N/A,N/A,NO
160117,2360,384,2744,0.000075124,"$574,521",2201,$260.99,YES
160122,1224,95,1319,0.000036111,"$276,164",772,$357.73,YES
160124,314,67,381,0.000010431,N/A,N/A,N/A,NO
160146,11994,841,12835,0.000351391,"$2,687,310",2350,"$1,143.70",YES
160147,640,58,698,0.000019110,N/A,N/A,N/A,NO
160153,4893,1055,5948,0.000162842,"$1,245,354",3965,$314.09,YES
170006,1274,538,1812,0.000049608,N/A,1603,$236.67,SCH
